colony.id2,rRNA18s,hsc70,hsp83,hsp40
09A,9.982832909,22.33954811,21.60633469,
ALA1,10.8660655,22.99854851,22.41806602,24.42125511
ALA4,9.636127472,22.08877563,22.06103134,23.98342705
10A,9.455965042,22.42442131,22.45286369,
Avon19-1,9.818394184,22.50363541,22.2914238,25.05218697
Bing,10.1811924,22.90374756,22.35478783,25.18320656
BK6-1,10.0480299,21.96765518,19.60310173,22.12089729
CJ1,9.786309242,,22.58103275,
CJ2,9.86358881,23.79146703,21.63413048,
CJ4,11.18797255,22.76619148,22.46102524,25.39393997
CJ5,10.19699574,23.39067459,21.95280838,24.85949516
CJ6,9.5543046,22.62137604,19.78738594,27.42809868
CJ7,8.579428196,22.79335213,22.41422653,24.70669937
CJ8,10.47006321,22.90410995,22.43374062,28.50082397
CREMATO,11.71329498,26.55451775,21.32716751,23.51811981
DUKE1,9.529983521,,22.51567459,
DUKE2,9.336215019,22.19554901,21.16622925,24.36023331
DUKE4,10.1225481,22.90598679,22.31345558,
DUKE5,10.99965286,23.56719589,22.95369911,26.45285606
DUKE6,9.43004179,22.7470932,21.70287323,25.065485
DUKE7,9.956384659,22.94527817,22.38311958,28.23204422
DUKE8,11.18225241,22.32789993,20.96773911,25.21233559
DUKE9,8.76093626,22.40533257,20.74882317,24.71899605
EXIT65,9.415182114,15.64692402,17.45394516,20.44216347
Fbragg1,10.1947546,,20.55477142,
Fbragg2,10.53629208,23.24958229,22.96307182,25.22844887
Fbragg3,9.717253208,23.35372925,22.29087448,25.10559082
Fbragg4,10.09906483,,21.25252151,
Fbragg5,10.45559263,22.18548965,20.88514519,24.08907509
GF34-1,10.51271677,22.87366676,22.29839897,25.35839272
HF2,9.885551453,22.09754562,22.33426285,24.12302399
HF3,10.14763021,22.49258614,22.24049377,24.89894867
HW7,9.82344389,21.65021896,20.11686134,23.993536
KH1,10.8303442,,20.09353161,
KH2,10.27481794,22.46178627,20.98608589,24.8687973
KH3,10.00456429,20.84528192,20.76940155,
KH5,9.073151588,,21.4505558,
KH6,10.7504344,23.94726753,23.14606094,25.59215546
KH7,9.57315731,23.28250122,22.12828636,25.66807556
Kite4,9.821374416,22.91911507,22.22637939,
Kite8,9.210543633,23.07599258,20.70281982,27.82073784
LEX13,8.790773392,,21.4778862,
LEX9,12.66338587,23.15728188,22.45717239,26.39702797
LPR2,9.826073647,22.80600739,22.11056519,24.69363213
LPR4,9.708856106,22.48911285,20.62540436,24.49017143
MA,10.03349972,22.44596481,19.89254189,24.55669212
PB07-23,9.488514423,21.28789139,19.93112946,25.33398247
PB17-10,11.22570562,22.60725975,20.34589386,26.37540627
PB17-14,9.631620884,21.80440521,19.96072006,25.3431778
Phil20-4,10.11570501,21.83831787,21.92211723,24.60840797
POP1,9.317705631,22.44090652,22.20241737,24.48544884
POP2,9.163928032,23.19470596,21.57419205,25.03066063
POP3,10.27544594,22.66915512,21.74534035,25.25605583
SHC10,10.07684803,,21.68045998,
SHC2,9.179463387,23.04626465,22.6235199,25.18084145
SHC3,9.933024406,22.19022751,21.79148483,24.47567558
SHC5,9.725317955,,21.64200592,
SHC6,9.910922527,22.57831192,21.33954048,24.99341202
SHC7,10.10172558,22.74899101,21.96103096,25.08147049
SHC8,10.17268658,22.75678444,22.48431969,25.06564522
SHC9,12.77917004,23.53495979,23.27040482,26.58444595
SWSR45-1,9.66311264,,,
TED4,9.812310696,,20.85024643,
TED6,9.452732086,22.22246552,22.11559296,
YATES2,9.587499142,22.19637108,21.36850357,24.01561356
YATES3,8.979201317,23.22877884,22.84794617,